,Title,Author,Category,Subcategory,Sub-Subcategory,Sub-Sub-Subcategory,Pages,Cover Type,Production_Year,ISBN,Translator,Format,Availability,Price,Description
752,"Небо і земля. Найліпша різдвяна проза (Електронна книга: PDF, mobi, epub, fb2)","Олег Ущенко, Богдан Волошин",Електронні та аудіокниги,,,,136,,2024,9789669388926,,,Є в наявності,110.00грн.,"Перед замовленням авторизуйтесяПідбірка
 різдвяної прози від двох галицьких авторів, майстрів художнього слова —
 Олега Ущенка та Богдана Волошина. Ці настроєві тексти дихають різдвяною
 атмосферою, смачно пахнуть спогадами, створюють настрій свята і дають 
можливість читачам хоч на деякий час забути про тривожну реальність.Найлііпша
 різдвяна проза — це ностальгія за часами і людьми, які минули: бабусею,
 нашашком, дзядзьом... Ці історії можна читати на самоті або у колі 
рідних, організувавши собі різдвяні вечори у колі найближчих. Автори 
розповідають про реальність і диво, про любов і віру, про життя, 
сповнене радістю та теплом.Приємний бонус — кілька опільських різдвяних рецептів від Олега Ущенка, знаного письменника і кулінара.Для всіх, хто вірить у дива, чекає на святого Миколая та готується до Різдва."
753,Невидима боротьба,Никодим Святогорець,Духовність,"Серія ""Джерела Християнського Сходу""",,,212,м'яка,2023,978-966-561-350-3,,145х200,Є в наявності,220.00грн.,"Історія написання книги сягає кінця XVI ст. Італійський священик Лоренцо Скуполі опублікував свої нотатки про духовне життя. Двісті років опісля Никодим Святогорець, побачивши, що книга є добрим викладом аскетики, переклав її грецькою і додав цитати із Святого Письма та творів Отців Церкви. Ще через сто років Теофан Затворник перекладає ""Невидиму боротьбу"" російською мовою, адаптуючи книгу до східної Традиції. А сьогодні перед нами український переклад."
754,Невідомий шлюб. Як Божа мудрість допомагає осягнути сенс подружнього життя,Тімоті Келлер,Сім'я та виховання,"Подружжя, сім'я та стосунки",,,280,тверда,2024,978-966-938-528-4,,160х230,Є в наявності,460.00грн.,"Сучасна культура переконує вас, що кожен може знайти свою ідеальну пару; що романтика — найважливіший елемент щасливого шлюбу; що подружній партнер має допомагати вам реалізовувати ваш потенціал; що шлюб — це не назавжди, а до пори, коли ви щасливі; що найкраще розв’язання начебто нездоланних подружніх проблем — це розлучитися й почати все з чистого аркуша. Якщо коротко, то всі ці модні сьогодні твердження хибні.
Тімоті Келлер разом зі своєю дружиною Кеті, з якою вони разом уже понад сорок років, показує, що шлюб — це величні стосунки. Проте вони лишаються для багатьох із нас загадковими й не до кінця зрозумілими.
«Невідомий шлюб» — це книжка, що вчить вас будувати успішний шлюб. Її просто повинен прочитати кожен, хто прагне пізнати Бога і навчитися по-справжньому любити інших у своєму житті."
755,Незвичайне Різдво у Карпатах,"Василь Карп'юк, Наталія Шморгун (ілюстрації)",Для дітей,Різдвяно-великодні,,,48,тверда,2022,978-966-938-602-1,,215х225,Є в наявності,250.00грн.,"Чому Різдво у Карпатах — це найкращий час у році? Бо тоді насправді відчуваєш, що ти вдома. Саме такі емоції переживає дівчинка Доцька, яка приїздить на Різдво з Києва до Карпат, щоб у родинній хаті своєї мами відсвяткувати зимові свята. У цій книзі є все: карпатський колорит, сімейні традиції, колядування та вертепи, захопливий сюжет і головне – справжнє усвідомлення свята Божого приходу! Христос народжується, щоби нести світові любов, перші промені якої сяють на Різдво у наших домівках."
756,"Немає Богу подібних: 10 якостей, якими Бог відрізняється від нас і чому це добре",Джен Вілкін,Духовність,"Духовний ріст, духовна праця",,,216,тверда,2023,978-617-95143-95,,,Є в наявності,330.00грн.,"Бог — самобутній, самодостатній, вічний, незмінний, усюдиприсутній, всезнаючий, всемогутній, усевладний, безмежний і незбагненний.А ми — ні. І це добре.Ми створені обмеженими. Ми не можемо і ніколи не зможемо бути Богом. Але в основі кожного гріха лежить наше бунтівне бажання мати ті риси, які притаманні одному лише Богові. У своїй книжці Джен Вілкін закликає нас прийняти свої обмеженості як спосіб прославлення безмежної сили Бога і насолодитися тією свободою, яка виникає, коли ми довіряємо Богові бути Богом."
757,Нестрашна історія про монстропланшет. Хто читає – від планшета відлипає,Вікторія Солтис-Доан,Для дітей,Молодший шкільний вік,,,48,тверда,2023,978-966-938-711-0,,220х210,Є в наявності,260.00грн.,"Ця (не) страшна історія про монстропланшет трапилася у країні Штрашляндія у звичайнісінькій сім'ї монстриків. Втім, такі пригоди цілком могли трапитися у будь-якій сім'ї. На день народження синочкові батьки дарують планшет, малий дуже тішиться і стає з ним нерозлучним: у планшеті стільки всього цікавого! Але далі події розгортаються неконтрольовано: монстропланшет стає некерованим! Як із цією ситуацією впораються наші герої?Відлипай від свого планшета і читай цю захопливу історію!"
758,Ні про що не тривожтеся. Як віднайти спокій серед хаосу світу,Макс Лукадо,Новинки,,,,288,тверда,2024,978-617-95418-6-5,,215х145,Є в наявності,390.00грн.,"Почуваєтеся виснаженими через постійні хвилювання?Можливо, на життєвому шляху вам безупинно трапляються вершини, на які маєте піднятися, перешкоди, які треба подолати, або круті віражі, які слід безпечно оминути? Якщо це все вам глибоко знайоме, ви потребуєте миру у своєму житті.«Нічим не журіться, але в усьому молитвою та благаннями з подякою висловлюйте ваші прохання Богові. І мир Божий, який перевищує всяке розуміння, нехай береже ваші серця і ваші думки в Христі Ісусі».Послання до Филип’ян 4:6–7 є одним з найвідоміших біблійних уривків, оскільки тривоги — невіддільна частина нашого життя. Однак вони не мають у ньому домінувати. З Божою силою ви почнете по-новому дивитися в очі своїм страхам. Навчитеся сприймати погані новини крізь призму Господнього всевладдя, розпізнавати брехню диявола й нагадувати собі життєво важливу правду. Ви віднайдете життя, сповнене спокоєм, у якому навчитеся протидіяти нападам тривоги. На сторінках цієї книжки ви побачите, як Бог допомагає вам перемогти у війні з постійними хвилюваннями й страхом. Завдяки Його силі зумієте «нічим не журитися» й віднайдете для себе «мир Божий, який перевищує всяке розуміння»."
759,Новий Завіт,,Святе Письмо/Біблія. Біблістика,Святе Письмо,,,712,м'яка,2017,978-966-395-739-5,о. Іван Хоменко,120х165,Є в наявності,250.00грн.,"Пропонуємо вашій увазі перевидання Нового Завіту (переклад о.І.Хоменка у його другій редакції), що був виданий 1983 року у видавництві Українського Католицького Університету ім.св. Климента Папи (Рим) з благословення Патріарха Йосифа Сліпого."
760,Новий Завіт (тверда оправа),,Святе Письмо/Біблія. Біблістика,Святе Письмо,,,712,тверда,2022,978-966-395-719-7,о. Іван Хоменко,145х200,Є в наявності,350.00грн.,"Пропонуємо вашій увазі перевидання Нового Завіту (переклад о.І.Хоменка у його другій редакції), що був виданий 1983 року у видавництві Українського Католицького Університету ім.св. Климента Папи (Рим) з благословення Патріарха Йосифа Сліпого."
761,Новий Завіт. Для дітей,,Для дітей,Молодший шкільний вік,,,64,тверда,2016,,,170х245,Є в наявності,220.00грн.,"«Пустіть дітей, не бороніть їм приходити до мене, бо таких Царство небесне» (Мт 19:13)Як важливо в християнському вихованні подавати добрий батьківський приклад. Читання Святого Письма в родині – чудова практика, яка не лише збагачує духовно, але  й доносить до дітей головні постулати християнства. Однак не завжди легко дається розуміти малечі те, що вони чують, та й часом так складаються обставини, що не випадає прочитати Біблію у сімейному колі.Дайте своїй дитині можливість самій пізнавати та відкривати християнський світ. Книга «Новий Завіт для дітей», що розрахована на середній шкільний вік, просто і доступно розповідає про головні моменти Нового Завіту. Життя Христа від народження до Воскресіння, перші апостоли, притчі та чуда Ісуса – все в кольорових ілюстраціях і легкій формі допоможе дитині зробити власні кроки в особистому читанні Святого Письма. Пам'ятайте, що християнське виховання є більшим добром, ніж усе добро світу. (А.Шептицький)"
762,Ноїв ковчег. Абетка-розмальовка,,Для дітей,Дошкільна,,,32,м'яка,2024,978-966-938-727-1,,200х215,Є в наявності,80.00грн.,"“Ноїв ковчег. Абетка-розмальовка” – це чудова нагода для діток віком від 2 до 5 років не лише вивчити алфавіт, а й познайомитися з багатьма різними тваринками. Розпочати можна із розмальовування літер і птахів та звірят. Також прості великі зображення відкриють простір для власної творчости."
763,"Обережно, секти! (Електронна книга: PDF, mobi, epub, fb2)",о. Орест-Дмитро Вільчинський,Електронні та аудіокниги,,,,128,,2014,,,,Є в наявності,45.00грн.,"Сьома книжка з серії «Сто запитань до священика» присвячена питанням сектанства, яке для певних людей може стояти дуже гостро – коли йдеться про їхнє життя та здоров'я, – а для інших становити потенційну небезпеку. Що треба знати християнину, щоб не потрапити в тенета секти, яка прикривається християнством? Які ознаки мають запалити червоний колір нашої пильности, аби розрізнити сектанське утворенння серед різноманітних спільнот та рухів, до яких ми належимо чи маємо намір долучитися? Адже треба розуміти, що секти постійно змінюють своє обличчя, пристосовуючись до нових життєвих реалій, а тому постійно прибирають нових форм. Розкрити деструктивну суть сект вам допоможе отець О.-Д. Вільчинський, який безпосередньо допоміг не одній жертві новітньої секти догналівців вирватися з їхньої залежности."
764,Одного разу у Вифлеємі (м'яка оправа),Світлана Бабинська,Для дітей,Молодший шкільний вік,,,48,м'яка,2024,978-966-938-741-7,,210х205,Є в наявності,120.00грн.,"Їх троє: пес Кудлик, кицька Аделаїда, горобець Дарко. Вони – друзі, й ця дружба загартовується через усеможливі пригоди та випробування. І хто б подумав, що цим відчайдухам вдасться виконати таку важливу місію – оберігати подружжя Марії та Йосифа у Вифлеємі й стати свідками народження Спасителя.Для сімейного читання і для молодших читачів."
765,Одного разу у Вифлеємі (тверда оправа),Світлана Бабинська,Для дітей,Дошкільна,,,48,тверда,2024,978-966-938-736-3,,210х205,Є в наявності,260.00грн.,"Їх троє: пес Кудлик, кицька Аделаїда, горобець Дарко. Вони – друзі, й ця дружба загартовується через усеможливі пригоди та випробування. І хто б подумав, що цим відчайдухам вдасться виконати таку важливу місію – оберігати подружжя Марії та Йосифа у Вифлеємі й стати свідками народження Спасителя.Для сімейного читання і для молодших читачів."
766,Омелян Ковч. Визначні постаті,Дорош Надія,Святі і визначні постаті,Постаті,,,48,М'яка,2017,,,120х165,Є в наявності,40.00грн.,"Видання покликане
ознайомити читача з основними віхами
життя і служіння Омеляна Ковча —
блаженного священномученика, Праведника
України,покровителя душпастирів. Своїм
життям у часи великих політичних,
суспільно-економічних, міжнаціональних
потрясінь 20 ст. Омелян Ковч подає гідний
приклад учня Христового, який за жодних
обставин не зрікається свого Учителя,
будучи “слухняним Йому аж до смерти”
(див. Флп. 2, 8)."
767,Ортодоксія,Ґ. К. Честертон,"Віра, практичне християнство",Наша віра,,,200,тверда,2019,978-966-938-319-8,,137х208,Є в наявності,250.00грн.,"Ґілберт Честертон є одним з найвідоміших авторів XX століття. А його книга «Ортодоксія» за визнанням багатьох критиків – одна з найкращих праць на захист християнства.У книзі автор розповідає історію власного навернення. Поєднуючи дотепність, легкість письма і здоровий глузд, Ґ. Честертон пише про красу та суперечності християнської віри і про те, що вона може запропонувати сучасному світові."
768,Осінь. Страви на чотири пори року,Вербенець Ольга,"Культура, традиції, мистецтво","Здоров'я, краса, харчування",,,136,тверда,2016,978-966-938-005-0,,150х205,Є в наявності,290.00грн.,"«Очам страшно, а руки зготують»  особливо, якщо під рукою  смачні та перевірені рецепти від Ольги Вербенець. Кожна пора року особлива своїми плодами, осінь багата врожаями яблук, груш, шипшини, терену, різними овочами та грибами, тому і в раціон харчування входять нові страви. Здається, важко здивувати когось звичними стравами з картоплі, капусти, моркви чи баклажанів, але насправді додавши трохи фантазії і любові звичний обід можна перетворити на маленьке свято.  Починаючи від гарячих страв, закусок, соусів, салатів та завершуючи  осінніми десертами з книгою рецептів на осінь, ви зможете приготувати найрізноманітніші страви до вашого столу. І що не менш важливо, в ній є багато рецептів, які  добре смакують під час посту.  Якщо шукаєте смачні і перевірені рецепти, хочете навчитись готувати або ж просто знайти нові страви з простих інгредієнтів, то ця книжка саме для вас.Ольга Вербенець - за освітою філолог. Кулінарією цікавиться вже понад три десятиліття. Вела кулінарні програми на Львівському телебаченні та авторські рубрики в українській пресі. Авторка книжки ""Наливки. Трунки старосвітські ісучасні"" (2006)"
769,Ослик та янголятко,"Отфрід Пройслер, Крістіана Гансен",Для дітей,Дошкільна,,,32,тверда,2024,978-966-938-769-1,,270х205,Є в наявності,270.00грн.,"Щоразу, коли маленький ослик не міг заснути, його мама розповідала давню історію про Ісуса у яслах, якого зігрівали ослиця та віл. Одного ранку осликова мама раптово кудись зникла. Та мале янголятко, яке несподівано з’явилося перед дверима стайні, знало, куди вона пішла: до міста Вифлеєм! Тож обидвоє друзів вирушили у подорож. Їм не було самотньо – сільські діти, пастух зі своїми вівцями, родина пекарів, продавчиня ковбасок і поліцейський – усі приєдналися до них, щоб побачити чудо, яке трапляється на Святвечір."
770,Отче наш. Молитва дівчинки,,Для дітей,Дошкільна,,,8,тверда,2018,,,10х12,Є в наявності,50.00грн.,"Кольорова книжечка, яка допоможе дівчинці навчитися молитві ""Отче наш""."
771,Отче наш. Молитва хлопчика,,Для дітей,Дошкільна,,,8,тверда,2018,,,10х12,Є в наявності,50.00грн.,"Кольорова книжечка, яка допоможе хлопчикові навчитися молитві ""Отче наш""."
772,Отче наш. Пояснення для дітей,Сара Далманн,Для дітей,Молодший шкільний вік,,,24,мʼяка,2022,978-966-938-535-2,Софія Пецюх,185х245,Є в наявності,90.00грн.,"Ця чудова книжка розкриває дітям значення Господньої молитви. Прекрасні короткі тексти й молитовні прохання пояснюють зміст кож­ного рядка молитви «Отче наш». Книжка до­помо­же батькам та катехитам цікаво й твор­чо про­вести з дітьми час, розмовляючи про Ісуса, Його велику любов, силу та до­сконалість. Доступ­ні пояснення й барвисті ілюстрації за­охо­тять дітей до роздумів про молитву, до ще більшої довіри до Бога, а також запевнять малих читачів, що Ісус завжди слухає, коли Його діти моляться до Нього."
773,Отче наш. Розмальовки та головоломки,Агнес  і Салем де Безенак,Для дітей,Дошкільна,,,24,мʼяка,2022,978-966-938-554-3,Христина Чолач,210х285,Є в наявності,90.00грн.,"Ця книжка - чудова можливість для дітей не тільки вивчити, але й зрозуміти Господню молитву. А ще автори пропонують їм розмалювати картинки, пройти лабіринти, повправлятися у лічбі й знайти відмінності на малюнках."
774,П'ять мов вибачення,"Ґері Чепмен, Дженіфер Томас",Психологія,Популярна психологія,,,172,тверда,2023,978-966-938-655-7,,220х150,Є в наявності,290.00грн.,"Мистецтво просити вибачення є нелегким, але його можна навчитися, і воно варте того, щоб докладати зусилля. Вибачення відкриває абсолютно новий світ емоційного і духовного здоров’я. Попросивши вибачення, ми можемо спокійно дивитися на себе в дзеркало, дивитись людям у вічі і прославляти Бога в «дусі і правді». Лише тих, хто щиро просить вибачення, можуть щиро прощати."
775,"П'ять мов вибачення (Електронна книга: PDF, mobi, epub, fb2)","Ґері Чепмен, Дженіфер Томас",Електронні та аудіокниги,,,,172,,2023,978-966-938-655-7,,,Є в наявності,125.00грн.,"Перед замовленням авторизуйтесяМистецтво просити вибачення є нелегким, але його можна навчитися, і воно
 варте того, щоб докладати зусилля. Вибачення відкриває абсолютно новий 
світ емоційного і духовного здоров’я. Попросивши вибачення, ми можемо 
спокійно дивитися на себе в дзеркало, дивитись людям у вічі і 
прославляти Бога в «дусі і правді». Лише тих, хто щиро просить 
вибачення, можуть щиро прощати."
776,П'ять мов любови для неодружених,Ґері Чепмен,Сім'я та виховання,"Подружжя, сім'я та стосунки",,,224,тверда,2020,978-966-938-371-6,,150х220,Є в наявності,290.00грн.,"Д-р Ґері Чепмен вірить у те, що ви маєте Богом дане прагнення до безумовної і досконалої любови. Але ви не зможете виразити чи отримати її, поки не навчитеся говорити правильною «любовною» мовою. Книжка «П’ять мов любови для неодружених» показує, як по-різному виражають любов різні особистості."
777,"П'ять мов любови у подружжі (Електронна книга: PDF, mobi, epub, fb2)",Ґері Чепмен,Електронні та аудіокниги,,,,192,,2020,978-966-938-895-7,з англ. О. Фешовець,,Є в наявності,150.00грн.,"Перед замовленням авторизуйтесяУ
 цьому світовому бестселері д-р Гері Чепмен показує, що різні люди 
виявляють свою любов по-різному. Він говорить про п'ять особливих мов 
любови й про те, як важливо зрозуміти, якої саме з цих мов потребує ваш 
партнер у шлюбі.Мова любові №1: Слова підтримки.Мова любові №2: Якісний час.Мова любові №3: Отримування подарунків.Мова любові №4: Вчинки служіння.Мова любові №5: Фізичні доторки."
778,Павло з Тарсу. Історія апостола,о. Зигмунт Подлейський,Святі і визначні постаті,Життя святих,,,152,м'яка,2018,978-966-938-137-8,,130х200,Є в наявності,150.00грн.,"Ця книжка розповідає про життя та діяльність одного з найбільших апостолів Ісуса Христа - св. Павла з Тарсу. Отець Зигмунт Подлейський захопливо показує різні етапи його життя - від переслідувача християн до провісника Євангелія - та представляє його богословсько-літературну спадщину: посилання, адресовані церковним спільнотам, які заснував."
779,Парастасник. Заупокійні богослуження,,Новинки,,,,248,тверда,2024,978-966-938-697-7,,170х125,Є в наявності,240.00грн.,"Нове видання Парастасника містить тексти всіх заупокійних богослужень мирян, а також чин похорону єрея. У додатку вміщені заупокійні та воскресні Євангелія, похоронні пісні з нотами. Великий читабельний шрифт та стрічка-закладка роблять видання максимально зручним у використанні для служителів, дяків і хористів."
780,Патологія духовности. Від нездорової релігійности до зрілої віри,о. Кшиштоф Ґживоч,"Віра, практичне християнство",Віра і соціяльні проблеми,,,160,м'яка,2023,978-966-938-553-6,,120х130,Є в наявності,190.00грн.,"Чи духовність може шкодити?Де починається одержимість, а де хвороба?Чи це демони нашіптують нам блюзнірські думки?Чим відрізняється звичайний смуток від депресії?Отець Кшиштоф Ґживоч був, поза сумнівом, одним із найбільш цінованих духовних авторитетів у Польщі. Величезні знання в галузі психології, психіатрії та богослов’я духовности поєднував з практикою духовного керівника, форматора й екзорциста. Наочно демонстрував, що, бажаючи вірити зріло, ми не можемо боятися зіткнення зі знаннями про людину і що пізнання Бога йде в парі з пізнанням людини.Ця книжка – це цикл лекцій о. Кшиштофа Ґживоча, прочитаних в Опольському університеті, протягом яких він допомагав поглянути на людину як на «складну мішанину світла й тіні» (папа Франциск) і ліпше зрозуміти її."
781,"Патологія духовности. Від нездорової релігійности до зрілої віри (Електронна книга: PDF, mobi, epub, fb2)",о. Кшиштоф Ґживоч,Електронні та аудіокниги,,,,160,,2023,978-966-938-553-6,,,Є в наявності,95.00грн.,"Чи духовність може шкодити?Де починається одержимість, а де хвороба?Чи це демони нашіптують нам блюзнірські думки?Чим відрізняється звичайний смуток від депресії?Отець
 Кшиштоф Ґживоч був, поза сумнівом, одним із найбільш цінованих духовних
 авторитетів у Польщі. Величезні знання в галузі психології, психіатрії 
та богослов’я духовности поєднував з практикою духовного керівника, 
форматора й екзорциста. Наочно демонстрував, що, бажаючи вірити зріло, 
ми не можемо боятися зіткнення зі знаннями про людину і що пізнання Бога
 йде в парі з пізнанням людини.Ця 
книжка – це цикл лекцій о. Кшиштофа Ґживоча, прочитаних в Опольському 
університеті, протягом яких він допомагав поглянути на людину як на 
«складну мішанину світла й тіні» (папа Франциск) і ліпше зрозуміти її."
782,Патриція зі Срібного Гаю,Лусі Мод Монтгомері,Для дітей,Старший шкільний вік,,,336,тверда,2018,,,130х200,Є в наявності,250.00грн.,"Дівчина народилася і виросла на острові, в улюбленій фермі Срібний Гай, серед рідних, де все здавалося однаковим і зазвичай нічого не змінювалося. Але в один момент все пішло не так — ніби все проти неї. Вона з усіх сил намагається впоратися з випробуваннями та несподіваними змінами. Однак чи вдалося їй пережити випробування?"
783,Переживаючи скорботу,К. С. Люїс,"Віра, практичне християнство",Наша віра,,,94,тверда,2024,978-966-938-749-3,,205х150,Є в наявності,190.00грн.,"Цю книжку К. С. Люїс, знаменитий письменник, учений і мислитель, написав після смерти своєї коханої дружини, з якою йому судилося прожити лише 4 роки. Як апологет християнства, Люїс раніше писав про втрати і страждання, але одна річ – теоретично міркувати, і зовсім інша – переживати самому. Люїс ділиться тим, як він переживає свою скорботу, які питання ставить Богові й до яких висновків доходить.Це глибокі й відверті роздуми (а іноді – й волання) про страждання й біль, радість і любов, смерть і життя після смерти, релігію та Бога."
784,"Переживаючи скорботу (Електронна книга: PDF, mobi, epub, fb2)",К. С. Люїс,Електронні та аудіокниги,,,,94,,2024,978-966-938-867-4,,,Є в наявності,95.00грн.,"Перед замовленням авторизуйтесяЦю
 книжку К. С. Люїс, знаменитий письменник, учений і мислитель, написав 
після смерти своєї коханої дружини, з якою йому судилося прожити лише 4 
роки. Як апологет християнства, Люїс раніше писав про втрати і 
страждання, але одна річ – теоретично міркувати, і зовсім інша – 
переживати самому. Люїс ділиться тим, як він переживає свою скорботу, 
які питання ставить Богові й до яких висновків доходить.Це
 глибокі й відверті роздуми (а іноді – й волання) про страждання й біль,
 радість і любов, смерть і життя після смерти, релігію та Бога."
785,Перемога у війні за свої думки,Крег Грошел,Новинки,,,,214,тверда,2024,978-617-952-582-7,,220х145,Є в наявності,380.00грн.,"Те, що ви думаєте, формує те, ким ви є. Якщо ваші думки вийшли з-під контролю, з-під контролю вийде й усе життя. І Біблія, і сучасна наука надають переконливі докази, що це правда. Всі ми намагалися позбутися шкідливих звичок і нездорових моделей мислення, але опинялися в глухому куті через те, що мозок вийшов з-під контролю, а щоденне життя погрузло у рутині. Крег Грошел глибоко розуміє нашу щоденну боротьбу з негативним мисленням. У цій книжці він розкриває стратегії, які допоможуть змінити не тільки вашу свідомість, але й усе ваше життя. Спираючись на Біблію та найновіші відкриття науки про мозок, автор висвітлює практичні стратегії, які звільнять вас від тиску шкідливих та деструктивних думок і дозволять жити життям радості й миру — тим життям, яке Бог призначив вам.У Бога є щось краще для вашого життя, ніж ваш старий спосіб мислення. Настав час змінити свої думки, щоби Бог міг змінити ваше життя."
786,"Пересуваючи гори : Як молитися пристрасно, впевнено, повновладно",Джон Елдредж,Духовність,Все про молитву,,,246,тверда,2024,978-966-938-730-1,О.Гладкий,205х150,Є в наявності,360.00грн.,"Джон Елдредж, відомий християнський письменник, автор численних бестселерів пропонує читачам покроковий посібник із ефективної християнської молитви. У світі, сповненому небезпек, пригод і дивовижних історій, автор пропонує сповнений надії підхід до молитви, яка в змозі вплинути на події, розв’язати проблеми, що найбільше тривожать нас; навчає, як осягнути силу молитви, що може зворушити серце Бога, а також посунути гори."
787,"Пересуваючи гори : Як молитися пристрасно, впевнено, повновладно (Електронна книга: PDF, mobi, epub, fb2)",Джон Елдредж,Електронні та аудіокниги,,,,246,,2024,978-966-938-831-5,,,Є в наявності,180.00грн.,"Перед замовленням авторизуйтесяДжон Елдредж, відомий християнський письменник, автор численних 
бестселерів пропонує читачам покроковий посібник із ефективної 
християнської молитви. У світі, сповненому небезпек, пригод і дивовижних
 історій, автор пропонує сповнений надії підхід до молитви, яка в змозі 
вплинути на події, розв’язати проблеми, що найбільше тривожать нас; 
навчає, як осягнути силу молитви, що може зворушити серце Бога, а також 
посунути гори."
788,Перлина Сходу,Генрі Райдер Гагард,Художня література,Проза,,,232,тверда,2016,978-966-395-966-5,з англ. Остап Гладкий,150х205,Є в наявності,250.00грн.,"В
романі на тлі історичних подій - Юдейської
війни, що закінчилася падінням Юдеї,
захопленням та знищенням Єрусалиму і
знаменитого Храму, - розповідає романтичну
історію про долю двох закоханих:
християнки Міріям, юдейської дівчини,
та римського центуріона Марка; про те,
як справжня любов та глибока віра
допомогли їм подолати численні труднощі
та перепони і знайти своє щастя.
Для
широкого кола читачів.
Гагард
Генрі Райдер (1856-1925) - англійський
письменник, класик світової пригодницької
літератури, творець літературного жанру
""Загублений світ"", один із фундаторів
жанру ""фентезі"". ""Перлина Сходу""
- один з найяскравіших його романів про
трагічну долю перших християн. На фоні
історичних подій того часу розквітає
любов між християнкою Міріям і римським
центуріоном Марком. Через які труднощі
довелося пройти двом закоханим, щоби
досягнути бажаного щастя, читач дізнається
зі сторінок цієї книги."
789,Пес Патрон. Маленька історія про велику мрію,"Зоряна Живка, ілюстрації Богдани Бондар",Для дітей,Молодший шкільний вік,,,64,тверда,2022,978-966-938-609-0,,175х205,Є в наявності,250.00грн.,"Пес Патрон – улюбленець дітей та дорослих, талісман Державної служби України з надзвичайних ситуацій, єдиний у світі пес доброї волі дитячого фонду ООН ЮНІСЕФ, володар медалі «За віддану службу», який допомагає саперам знешкоджувати ворожі вибухові пристрої. Ця книжка – своєрідна автобіографія Патрона. Зоряна Живка і Богдана Бондар підготували для українських дітей переклад із собачої мови на людську – і з цього вийшла ось така історія. Вона надихає мріяти, вірити й перемагати!"
